;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-06-20 00:00:00+00:00;194.57904130958823;183.07742774949358;178.24897594253417;472.1477549634894;428.09287529463353;103.45855095889597
2024-06-21 00:00:00+00:00;194.82544354357614;183.1962906025938;178.28410533483856;472.586580432769;428.48853881467323;103.91581634953238
2024-06-24 00:00:00+00:00;195.0798083827117;183.24329489411113;178.32902052400405;473.0984206079091;428.8347438541955;104.1965280797996
2024-06-25 00:00:00+00:00;195.34751089791325;183.30461571478003;178.4677731681373;473.83138995830166;429.23879726139893;104.62967640482638
2024-06-26 00:00:00+00:00;195.69249807623814;183.5086827424151;178.59962512514588;474.5996987006187;429.65871919159554;105.06038549650641
2024-06-27 00:00:00+00:00;196.04744786003943;183.792669343625;178.7583325358407;475.48019613894184;430.0839378845064;105.43485010218937
2024-06-28 00:00:00+00:00;196.32661283173496;183.97994321800863;178.84586780296053;476.03978514446715;430.3843478010879;105.79299009620155
2024-07-01 00:00:00+00:00;196.72136256990606;184.24172646019147;178.95283016411014;476.597393460952;430.8717375095054;106.15908549023948
2024-07-02 00:00:00+00:00;197.17784141627473;184.55377148078173;179.09959926580706;477.23931446760395;431.39977917856226;106.48565913166689
2024-07-03 00:00:00+00:00;197.65057048089676;184.81191454725914;179.2588873247066;477.8776244485595;431.94675753699266;106.91683801759613
2024-07-05 00:00:00+00:00;198.20857600094166;185.11266871464014;179.5053973103869;479.09579793952247;432.61685021919635;107.29097131948895
2024-07-08 00:00:00+00:00;198.7847731853483;185.39340781506573;179.71775743771062;480.0803475200826;433.2476340870712;107.70461923474735
2024-07-09 00:00:00+00:00;199.36655156383307;185.66957788482463;179.92512137420087;481.0588529760587;433.73375766950545;108.17303718954737
2024-07-10 00:00:00+00:00;200.02176598357383;185.94919007098915;180.17228180287927;482.11076519280755;434.3426221670385;108.70206962965611
2024-07-11 00:00:00+00:00;200.55711910050647;186.1294041894202;180.30854893495405;482.70681666911025;434.7115850992583;109.07193622999515
2024-07-12 00:00:00+00:00;201.14055012311402;186.29496065088048;180.43183419061242;483.0174644825932;435.0505548859298;109.47090872043228
2024-07-15 00:00:00+00:00;201.78869148389936;186.42218917701558;180.58056215585864;483.26834902331535;435.3909004642638;109.84614153815886
2024-07-16 00:00:00+00:00;202.43229672630898;186.55283898088578;180.67314773758824;483.3882472935452;435.63691926405096;110.1727621932278
2024-07-17 00:00:00+00:00;202.94579848899963;186.58010935108172;180.7069450760534;482.9558004682708;435.7597053373727;110.3271980159408
2024-07-18 00:00:00+00:00;203.35627204634153;186.52406758175337;180.6728350796719;482.8061110406813;435.81792077546305;110.53995229409048
2024-07-19 00:00:00+00:00;203.76118602761372;186.45685841939812;180.6427622968249;482.6779821449577;435.81067352871037;110.68592925738433
2024-07-22 00:00:00+00:00;204.1511671104905;186.3794949467716;180.69159795456494;482.76228854450835;435.9185781554237;110.9400874859471
2024-07-23 00:00:00+00:00;204.55417079926406;186.3800990797486;180.74441071938793;482.87044606172725;436.06202408613314;111.17040392800872
2024-07-24 00:00:00+00:00;204.82136393821736;186.27019616393287;180.6136454047288;482.4340085710634;435.8879860211927;111.23103658706695
2024-07-25 00:00:00+00:00;205.0625214225008;186.14306368748896;180.38243702186907;481.85071879254446;435.5102614807436;111.2514647173335
2024-07-26 00:00:00+00:00;205.30818931512454;186.07092381248918;180.14631424310602;481.5221137580541;435.2755400619959;111.28693143331724
2024-07-29 00:00:00+00:00;205.5545246389626;186.0140737755734;179.9633185015965;481.2002133628219;435.0742685384911;111.29259143534351
2024-07-30 00:00:00+00:00;205.8070460173603;185.92884472484653;179.79838276336096;480.8348335963551;434.80182353571774;111.14251995401825
2024-07-31 00:00:00+00:00;206.11937120064894;185.94965959618696;179.662223961735;480.70696444407577;434.4446209318623;111.25854772933317
2024-08-01 00:00:00+00:00;206.35201421901093;185.9124387591183;179.51491817754922;481.03485810820143;434.07002984402527;111.21764852919902
2024-08-02 00:00:00+00:00;206.6096863369861;185.5557566826305;179.29043671118146;481.1663415945721;433.532811851871;111.13914906521775
2024-08-05 00:00:00+00:00;206.65302601038735;185.0699001992608;178.9169393059902;481.0497132724642;432.7430748355824;110.92717554687998
2024-08-06 00:00:00+00:00;206.6552022120497;184.61168420869683;178.54885998737296;481.29861161538264;432.0569580516321;110.79463547619996
2024-08-07 00:00:00+00:00;206.70850725604066;184.179175695108;178.19222247814744;481.4403032770056;431.36114977608923;110.55899377596347
2024-08-08 00:00:00+00:00;206.8297095605312;183.8152316823684;177.9037547710848;481.9888970162604;430.76315683207787;110.44799961717854
2024-08-09 00:00:00+00:00;207.00640124785747;183.4810687271018;177.65165223906922;482.6876624276804;430.24269547695627;110.33484765809764
2024-08-12 00:00:00+00:00;207.2100554673267;183.15075059491676;177.37606440369626;483.3365849925407;429.7481247986146;110.30847757713207
2024-08-13 00:00:00+00:00;207.48365486304638;182.89489406288948;177.1450899209962;484.22172697056584;429.40538124211355;110.42359807428005
2024-08-14 00:00:00+00:00;207.76073761067246;182.64152994488208;176.84156311234253;485.0541283296728;429.1256459216478;110.5748489555443
2024-08-15 00:00:00+00:00;208.09167424649533;182.54149957642682;176.5665913697675;486.07915293886236;428.9486813355988;110.81774370762356
2024-08-16 00:00:00+00:00;208.44236534472378;182.43295498201428;176.32811307531665;486.8878290660786;428.72462889733197;111.08988265396859
2024-08-19 00:00:00+00:00;208.78294730127163;182.3495301550576;176.16673666047825;487.7172893564626;428.5654862903768;111.46394278821859
2024-08-20 00:00:00+00:00;209.1290485947528;182.2808266843201;176.01963067752789;488.479877018881;428.4741179578554;111.77614880587143
2024-08-21 00:00:00+00:00;209.46612058459988;182.23784002939004;175.8491357621545;489.3941349461061;428.37151610937065;112.10692137554167
2024-08-22 00:00:00+00:00;209.75952906612002;182.11689279876475;175.63969635456155;490.22639038614295;428.10118666463836;112.33690102869656
