;AAPL;AMZN;GOOG;META;MSFT;NVDA
2024-07-10 00:00:00+00:00;215.74514083862306;191.67449951171875;183.36412353515624;511.0190963745117;450.037907409668;127.24084777832032
2024-07-11 00:00:00+00:00;216.76384048461915;192.06549987792968;183.81902465820312;511.3054916381836;451.13473358154295;127.56529808044434
2024-07-12 00:00:00+00:00;217.63537063598633;192.44550018310548;184.17955017089844;510.8326782226562;451.7568634033203;127.76726760864258
2024-07-15 00:00:00+00:00;218.64109802246094;192.8900001525879;184.7512969970703;510.4610336303711;452.37351379394534;127.70877685546876
2024-07-16 00:00:00+00:00;219.75508193969728;193.35800018310547;185.10732879638672;509.74321899414065;452.71969451904295;127.43281860351563
2024-07-17 00:00:00+00:00;220.36420593261718;193.55149993896484;185.29907608032227;507.5133453369141;452.47811431884764;126.78341827392578
2024-07-18 00:00:00+00:00;220.8575912475586;193.59850006103517;185.43739395141603;506.3324722290039;452.1807464599609;126.05902938842773
2024-07-19 00:00:00+00:00;221.58744201660156;193.45;185.5212829589844;505.0881591796875;451.75287475585935;125.41662902832032
2024-07-22 00:00:00+00:00;222.40908584594726;193.12350006103514;185.67558059692382;504.7195098876953;451.41217346191405;125.2651523590088
2024-07-23 00:00:00+00:00;223.2506851196289;193.16549987792968;185.8158966064453;504.20899658203126;451.2717086791992;125.48911781311035
2024-07-24 00:00:00+00:00;223.72311706542968;192.8900001525879;185.25613327026366;501.7448455810547;450.1733917236328;124.8972095489502
2024-07-25 00:00:00+00:00;223.93463973999025;192.2020004272461;184.4466995239258;498.762190246582;448.4917938232422;124.19131813049316
2024-07-26 00:00:00+00:00;224.12720413208007;191.43450012207032;183.53889389038085;496.0717575073242;447.1180221557617;123.64490242004395
2024-07-29 00:00:00+00:00;224.50734634399413;190.93199996948243;182.9252021789551;494.14809265136716;446.110856628418;123.04749450683593
2024-07-30 00:00:00+00:00;224.60961532592773;190.15750045776366;182.29453201293944;492.07556915283203;444.42677001953126;122.01915321350097
2024-07-31 00:00:00+00:00;224.69991149902344;189.50650024414062;181.6224166870117;490.3437210083008;442.3880325317383;121.73669662475587
2024-08-01 00:00:00+00:00;224.54077072143554;188.83050079345702;180.87639846801758;489.7333023071289;440.21331176757815;120.7833438873291
2024-08-02 00:00:00+00:00;224.21750106811524;187.22550048828126;179.69994659423827;487.14727172851565;437.2710159301758;119.85548667907715
2024-08-05 00:00:00+00:00;223.2920913696289;185.31200103759767;178.20990829467775;484.47032470703124;433.72999877929686;118.4682014465332
2024-08-06 00:00:00+00:00;222.2220085144043;183.44150085449218;176.7168731689453;482.67653503417966;430.74486389160154;117.11191024780274
2024-08-07 00:00:00+00:00;221.06661987304688;181.5905014038086;175.12347030639648;480.3902160644531;427.3667251586914;115.31218795776367
2024-08-08 00:00:00+00:00;220.3552261352539;180.12800140380858;173.9520118713379;480.2368621826172;424.77608795166014;114.19086074829102
2024-08-09 00:00:00+00:00;219.64183883666993;178.7505012512207;172.88391799926757;481.18096313476565;422.4086029052734;112.96654968261718
2024-08-12 00:00:00+00:00;218.81280136108398;177.45450134277343;171.67351150512695;482.1695190429688;420.06004638671874;111.99569931030274
2024-08-13 00:00:00+00:00;218.14960479736328;176.31500091552735;170.696297454834;484.1051712036133;418.2912826538086;111.48477821350097
2024-08-14 00:00:00+00:00;217.80521469116212;175.42350158691406;169.66815109252929;487.34058685302733;416.9633392333984;111.48927803039551
2024-08-15 00:00:00+00:00;217.84513092041016;175.1155014038086;168.86670608520507;490.41165618896486;416.03780670166014;111.57776527404785
2024-08-16 00:00:00+00:00;217.94498825073242;174.81200103759767;168.13516998291016;492.94074096679685;415.14691162109375;111.91021385192872
2024-08-19 00:00:00+00:00;218.05431442260743;174.59550094604492;167.3886520385742;495.03274688720705;414.1183151245117;112.23316383361816
2024-08-20 00:00:00+00:00;218.1422248840332;174.21900100708007;166.6576141357422;496.9329330444336;413.1577545166016;112.46612777709962
2024-08-21 00:00:00+00:00;218.54741287231445;174.18300094604493;166.3210578918457;500.62391052246096;412.95873565673827;113.17851829528809
2024-08-22 00:00:00+00:00;218.91158447265624;173.99700088500975;166.13779907226564;504.5461685180664;412.85408477783204;113.75143013000488
2024-08-23 00:00:00+00:00;219.36768188476563;173.7240005493164;166.07538146972655;507.65819854736327;412.4691131591797;114.56680450439453
2024-08-26 00:00:00+00:00;219.8267921447754;173.3390007019043;165.91559143066405;510.4260589599609;411.846745300293;115.31018981933593
2024-08-27 00:00:00+00:00;220.30041885375977;172.9095001220703;165.64195175170897;513.2188934326172;411.43161926269534;116.53850059509277
2024-08-28 00:00:00+00:00;220.53349990844725;172.10050048828126;165.21002044677735;515.3143951416016;411.082453918457;116.96793479919434
2024-08-29 00:00:00+00:00;221.1169807434082;171.50299987792968;164.75811538696288;516.337419128418;410.9208023071289;117.38686981201172
